country,time,population
lby,1801,531796
ltu,1801,778655
lux,1801,127030
mac,1801,17662
mkd,1801,391865
mdg,1801,1549842
mwi,1801,737000
mys,1801,287000
mdv,1801,42378
mli,1801,1403398
mlt,1801,134072
mhl,1801,5828
mrt,1801,382696
mus,1801,64209
mex,1801,6201367
fsm,1801,16416
mda,1801,712558
mco,1801,7789
mng,1801,619000
mne,1801,126582
mar,1801,2512195
moz,1801,1987858
mmr,1801,3506000
nam,1801,229000
nru,1801,1834
npl,1801,3881000
nld,1801,2258383
nzl,1801,100000
nic,1801,219387
ner,1801,1244861
nga,1801,12100855
prk,1801,4345000
nor,1801,873380
omn,1801,318000
pak,1801,13149511
plw,1801,3875
pan,1801,78842
png,1801,754894
pry,1801,143000
per,1801,1314294
phl,1801,1894389
pol,1801,9552632
prt,1801,3046117
pri,1801,158709
qat,1801,14092
rou,1801,5506976
rus,1801,31088398
rwa,1801,928368
wsm,1801,47292
smr,1801,5492
stp,1801,22731
sau,1801,2091000
sen,1801,1009886
srb,1801,2147197
syc,1801,12522
sle,1801,794264
sgp,1801,30000
svk,1801,2140651
svn,1801,469664
slb,1801,56998
som,1801,991911
zaf,1801,1446092
kor,1801,9395000
ssd,1801,1028736
esp,1801,11581132
lka,1801,1213000
kna,1801,17202
lca,1801,24000
vct,1801,25781
sdn,1801,3999435
sur,1801,80721
swz,1801,86000
swe,1801,2354278
che,1801,1833734
syr,1801,1337000
twn,1801,2000000
tjk,1801,466629
tza,1801,3019768
tha,1801,4665000
tls,1801,137262
tgo,1801,445985
ton,1801,18654
tto,1801,60000
tun,1801,862673
tur,1801,9788268
tkm,1801,367215
tca,1801,3296
tuv,1801,2499
uga,1801,2101397
ukr,1801,11215490
are,1801,40153
gbr,1801,12483870
usa,1801,6933516
ury,1801,55000
uzb,1801,1919159
vut,1801,27791
ven,1801,718000
vnm,1801,6551000
pse,1801,165944
yem,1801,2593000
zmb,1801,747000
zwe,1801,1085814
hrv,1801,1227886
guf,1801,9899
pyf,1801,62609
glp,1801,80726
gum,1801,6265
mtq,1801,84039
myt,1801,8219
ant,1801,42536
ncl,1801,29432
reu,1801,92744
vir,1801,40000
esh,1801,2788
akr_a_dhe,1801,3736
asm,1801,8169
aia,1801,2025
vgb,1801,6700
chanisl,1801,43908
cxr,1801,0
cck,1801,0
cok,1801,16156
cheslo,1801,7038952
deu_east,1801,5773904
eri_a_eth,1801,3040062
fro,1801,13537
flk,1801,100
gib,1801,9873
gbg,1801,19488
hos,1801,905
gbm,1801,23533
jey,1801,24420
kos,1801,383778
lie,1801,5802
msr,1801,5230
niu,1801,4537
nfk,1801,1117
yem_north,1801,1782615
mnp,1801,3360
pcn,1801,35
scg,1801,2273780
scg_ex_kos,1801,1814128
yem_south,1801,551928
stbar,1801,2684
shn,1801,1997
stmar,1801,5380
spm,1801,1782
sjm,1801,51
tkl,1801,1009
ussr,1801,48833403
korea_union,1801,13740000
wlf,1801,3721
deu_west,1801,14747000
yug,1801,4712486
ala,1801,7199
afg,1802,3280000
alb,1802,413026
dza,1802,2521203
and,1802,2654
ago,1802,1567028
atg,1802,37000
arg,1802,534000
arm,1802,413326
abw,1802,19286
aus,1802,349274
aut,1802,3221565
aze,1802,879960
bhs,1802,27350
bhr,1802,64474
bgd,1802,19303259
brb,1802,81729
blr,1802,2355081
bel,1802,3166538
blz,1802,25526
ben,1802,636559
bmu,1802,9720
btn,1802,89989
bol,1802,1100000
bih,1802,851806
bwa,1802,121000
bra,1802,3718270
brn,1802,2128
bgr,1802,2010981
bfa,1802,1665421
bdi,1802,899097
khm,1802,2090000
cmr,1802,1860054
can,1802,660832
cpv,1802,55716
cym,1802,2439
caf,1802,479444
tcd,1802,1432000
chl,1802,771447
chn,1802,327165946
col,1802,1206000
com,1802,56346
cod,1802,5163819
cog,1802,314465
cri,1802,53484
civ,1802,1088530
cub,1802,366184
cyp,1802,184432
cze,1802,5516349
dnk,1802,1071419
dji,1802,22848
dma,1802,19950
dom,1802,89000
ecu,1802,500000
egy,1802,4238538
slv,1802,248000
gnq,1802,80377
eri,1802,205010
est,1802,334136
eth,1802,2948990
fji,1802,130959
fin,1802,995294
fra,1802,29539311
gab,1802,158227
gmb,1802,103274
geo,1802,1072178
deu,1802,23081140
gha,1802,2016034
grc,1802,2166723
grl,1802,9584
grd,1802,29409
gtm,1802,471035
gin,1802,983959
gnb,1802,218167
guy,1802,166034
hti,1802,723000
hnd,1802,130258
hkg,1802,20000
hun,1802,3559579
isl,1802,61428
ind,1802,169240360
idn,1802,16192985
irn,1802,6298161
irq,1802,1078517
irl,1802,4154147
isr,1802,209954
ita,1802,18953419
jam,1802,401000
jpn,1802,30364211
jor,1802,217000
kaz,1802,2041282
ken,1802,2574000
kir,1802,17876
kwt,1802,81280
kgz,1802,530343
lao,1802,470000
lva,1802,590588
lbn,1802,332000
lso,1802,276361
lbr,1802,313543
lby,1802,532121
ltu,1802,778655
lux,1802,127030
mac,1802,18021
mkd,1802,391865
mdg,1802,1556580
mwi,1802,737000
mys,1802,287000
mdv,1802,42378
mli,1802,1403398
mlt,1802,134072
mhl,1802,5828
mrt,1802,382696
mus,1802,65581
mex,1802,6221089
fsm,1802,16416
mda,1802,712558
mco,1802,7789
mng,1802,619000
mne,1802,126582
mar,1802,2521203
moz,1802,1993408
mmr,1802,3506000
nam,1802,229000
nru,1802,1834
npl,1802,3881000
nld,1802,2262250
nzl,1802,100000
nic,1802,219387
ner,1802,1244861
nga,1802,12100855
prk,1802,4345000
nor,1802,878216
omn,1802,318000
pak,1802,13175440
plw,1802,3875
pan,1802,78842
png,1802,754894
pry,1802,143000
per,1802,1314436
phl,1802,1894389
pol,1802,9596718
prt,1802,3058832
pri,1802,162507
qat,1802,14092
rou,1802,5550204
rus,1802,31088398
rwa,1802,928368
wsm,1802,47284
smr,1802,5492
stp,1802,22731
sau,1802,2091000
sen,1802,1009886
srb,1802,2147197
syc,1802,12522
sle,1802,794264
sgp,1802,30000
svk,1802,2140651
svn,1802,469664
slb,1802,56998
som,1802,992336
zaf,1802,1451383
kor,1802,9395000
ssd,1802,1030097
esp,1802,11613057
lka,1802,1213000
kna,1802,17202
lca,1802,24000
vct,1802,25781
sdn,1802,4004722
sur,1802,80721
swz,1802,86000
swe,1802,2360724
che,1802,1841448
syr,1802,1337000
twn,1802,2000000
tjk,1802,466629
tza,1802,3019768
tha,1802,4665000
tls,1802,137262
tgo,1802,445985
ton,1802,18651
tto,1802,60000
tun,1802,863317
tur,1802,9803103
tkm,1802,367215
tca,1802,3296
tuv,1802,2499
uga,1802,2101397
ukr,1802,11215490
are,1802,40153
gbr,1802,12642258
usa,1802,7067728
ury,1802,55000
uzb,1802,1919159
vut,1802,27791
ven,1802,718000
vnm,1802,6551000
pse,1802,165944
yem,1802,2593000
zmb,1802,747000
zwe,1802,1085814
hrv,1802,1227886
guf,1802,9899
pyf,1802,62687
glp,1802,80726
gum,1802,6485
mtq,1802,84039
myt,1802,8219
ant,1802,42536
ncl,1802,29432
reu,1802,92744
vir,1802,40000
esh,1802,2788
akr_a_dhe,1802,3763
asm,1802,8167
aia,1802,2025
vgb,1802,6700
chanisl,1802,43908
cxr,1802,0
cck,1802,0
cok,1802,16175
cheslo,1802,7070200
deu_east,1802,5773904
eri_a_eth,1802,3045955
fro,1802,13537
flk,1802,100
gib,1802,9873
gbg,1802,19488
hos,1802,905
gbm,1802,23533
jey,1802,24420
kos,1802,383778
lie,1802,5802
msr,1802,5230
niu,1802,4536
nfk,1802,1113
yem_north,1802,1782615
mnp,1802,3360
pcn,1802,36
scg,1802,2273780
scg_ex_kos,1802,1814128
yem_south,1802,551928
stbar,1802,2864
shn,1802,1997
stmar,1802,5380
spm,1802,1782
sjm,1802,52
tkl,1802,1009
ussr,1802,49128930
korea_union,1802,13740000
wlf,1802,3721
deu_west,1802,14747000
yug,1802,4737684
ala,1802,7264
afg,1803,3280000
alb,1803,414323
dza,1803,2530245
and,1803,2654
ago,1803,1567028
atg,1803,37000
arg,1803,534000
arm,1803,413326
abw,1803,19286
aus,1803,348407
aut,1803,3229584
aze,1803,879960
bhs,1803,27350
bhr,1803,64474
bgd,1803,19341322
brb,1803,81729
blr,1803,2355081
bel,1803,3180835
blz,1803,25526
ben,1803,636559
bmu,1803,9734
btn,1803,89989
bol,1803,1100000
bih,1803,851806
bwa,1803,121000
bra,1803,3758222
brn,1803,2128
bgr,1803,2020377
bfa,1803,1665421
bdi,1803,899097
khm,1803,2090000
cmr,1803,1860054
can,1803,668621
cpv,1803,55716
cym,1803,2439
caf,1803,479444
tcd,1803,1432000
chl,1803,771447
chn,1803,329946461
col,1803,1206000
com,1803,56346
cod,1803,5163819
cog,1803,314465
cri,1803,53973
civ,1803,1088530
cub,1803,377236
cyp,1803,184451
cze,1803,5516349
dnk,1803,1075900
dji,1803,22848
dma,1803,19950
dom,1803,89000
ecu,1803,500000
egy,1803,4236051
slv,1803,248000
gnq,1803,80377
eri,1803,205010
est,1803,334136
eth,1803,2948990
fji,1803,131172
fin,1803,1004229
fra,1803,29631844
gab,1803,158227
gmb,1803,103274
geo,1803,1072178
deu,1803,23178868
gha,1803,2016034
grc,1803,2174549
grl,1803,9584
grd,1803,29409
gtm,1803,477189
gin,1803,983959
gnb,1803,218167
guy,1803,166034
hti,1803,723000
hnd,1803,130517
hkg,1803,20000
hun,1803,3589865
isl,1803,61428
ind,1803,169574075
idn,1803,16235371
irn,1803,6312430
irq,1803,1079317
irl,1803,4199581
isr,1803,209954
ita,1803,19019353
jam,1803,401000
jpn,1803,30399188
jor,1803,217000
kaz,1803,2041282
ken,1803,2574000
kir,1803,17876
kwt,1803,81280
kgz,1803,530343
lao,1803,470000
lva,1803,590588
lbn,1803,332000
lso,1803,276361
lbr,1803,313543
lby,1803,532446
ltu,1803,778655
lux,1803,127030
mac,1803,18387
mkd,1803,391865
mdg,1803,1563348
mwi,1803,737000
mys,1803,287000
mdv,1803,42378
mli,1803,1403398
mlt,1803,134072
mhl,1803,5828
mrt,1803,382696
mus,1803,66983
mex,1803,6240873
fsm,1803,16416
mda,1803,712558
mco,1803,7789
mng,1803,619000
mne,1803,126582
mar,1803,2530245
moz,1803,1998974
mmr,1803,3506000
nam,1803,229000
nru,1803,1834
npl,1803,3881000
nld,1803,2266124
nzl,1803,100000
nic,1803,219387
ner,1803,1244861
nga,1803,12100855
prk,1803,4345000
nor,1803,883080
omn,1803,318000
pak,1803,13201420
plw,1803,3875
pan,1803,78842
png,1803,754894
pry,1803,143000
per,1803,1314578
phl,1803,1894389
pol,1803,9641009
prt,1803,3071600
pri,1803,166396
qat,1803,14092
rou,1803,5593772
rus,1803,31088398
rwa,1803,928368
wsm,1803,47276
smr,1803,5492
stp,1803,22731
sau,1803,2091000
sen,1803,1009886
srb,1803,2147197
syc,1803,12522
sle,1803,794264
sgp,1803,30000
svk,1803,2140651
svn,1803,469664
slb,1803,56998
som,1803,992760
zaf,1803,1456693
kor,1803,9395000
ssd,1803,1031459
esp,1803,11645070
lka,1803,1213000
kna,1803,17202
lca,1803,24000
vct,1803,25781
sdn,1803,4010017
sur,1803,80721
swz,1803,86000
swe,1803,2376420
che,1803,1849196
syr,1803,1337000
twn,1803,2000000
tjk,1803,466629
tza,1803,3019768
tha,1803,4665000
tls,1803,137262
tgo,1803,445985
ton,1803,18647
tto,1803,60000
tun,1803,863962
tur,1803,9817960
tkm,1803,367215
tca,1803,3296
tuv,1803,2499
uga,1803,2101397
ukr,1803,11215490
are,1803,40153
gbr,1803,12802656
usa,1803,7204537
ury,1803,55000
uzb,1803,1919159
vut,1803,27791
ven,1803,718000
vnm,1803,6551000
pse,1803,165944
yem,1803,2593000
zmb,1803,747000
zwe,1803,1085814
hrv,1803,1227886
guf,1803,9899
pyf,1803,62766
glp,1803,80726
gum,1803,6713
mtq,1803,84039
myt,1803,8219
ant,1803,42536
ncl,1803,29432
reu,1803,92744
vir,1803,40000
esh,1803,2788
akr_a_dhe,1803,3789
asm,1803,8166
aia,1803,2025
vgb,1803,6700
chanisl,1803,43908
cxr,1803,0
cck,1803,0
cok,1803,16195
cheslo,1803,7101588
deu_east,1803,5773904
eri_a_eth,1803,3051859
fro,1803,13537
flk,1803,100
gib,1803,9873
gbg,1803,19488
hos,1803,905
gbm,1803,23533
jey,1803,24420
kos,1803,383778
lie,1803,5802
msr,1803,5230
niu,1803,4535
nfk,1803,1108
yem_north,1803,1782615
mnp,1803,3360
pcn,1803,37
scg,1803,2273780
scg_ex_kos,1803,1814128
yem_south,1803,551928
stbar,1803,3056
shn,1803,1997
stmar,1803,5380
spm,1803,1782
sjm,1803,53
tkl,1803,1008
ussr,1803,49426246
korea_union,1803,13740000
wlf,1803,3721
deu_west,1803,14747000
yug,1803,4763016
ala,1803,7329
afg,1804,3280000
alb,1804,415623
dza,1804,2539318
and,1804,2654
ago,1804,1567028
atg,1804,37000
arg,1804,534000
arm,1804,413326
abw,1804,19286
aus,1804,347543
aut,1804,3237622
aze,1804,879960
bhs,1804,27350
bhr,1804,64474
bgd,1804,19379460
brb,1804,81729
blr,1804,2355081
bel,1804,3195197
blz,1804,25526
ben,1804,636559
bmu,1804,9747
btn,1804,89989
bol,1804,1100000
bih,1804,851806
bwa,1804,121000
bra,1804,3798603
brn,1804,2128
bgr,1804,2029817
bfa,1804,1665421
bdi,1804,899097
khm,1804,2090000
cmr,1804,1860054
can,1804,676502
cpv,1804,55716
cym,1804,2439
caf,1804,479444
tcd,1804,1432000
chl,1804,771447
chn,1804,332750607
col,1804,1206000
com,1804,56346
cod,1804,5163819
cog,1804,314465
cri,1804,54466
civ,1804,1088530
cub,1804,388621
cyp,1804,184471
cze,1804,5516349
dnk,1804,1080399
dji,1804,22848
dma,1804,19950
dom,1804,89000
ecu,1804,500000
egy,1804,4233566
slv,1804,248000
gnq,1804,80377
eri,1804,205010
est,1804,334136
eth,1804,2948990
fji,1804,131386
fin,1804,1013244
fra,1804,29724666
gab,1804,158227
gmb,1804,103274
geo,1804,1072178
deu,1804,23277009
gha,1804,2016034
grc,1804,2182403
grl,1804,9584
grd,1804,29409
gtm,1804,483423
gin,1804,983959
gnb,1804,218167
guy,1804,166034
hti,1804,723000
hnd,1804,130777
hkg,1804,20000
hun,1804,3620408
isl,1804,61428
ind,1804,169908450
idn,1804,16277868
irn,1804,6326730
irq,1804,1080117
irl,1804,4245511
isr,1804,209954
ita,1804,19085518
jam,1804,401000
jpn,1804,30434206
jor,1804,217000
kaz,1804,2041282
ken,1804,2574000
kir,1804,17876
kwt,1804,81280
kgz,1804,530343
lao,1804,470000
lva,1804,590588
lbn,1804,332000
lso,1804,276361
lbr,1804,313543
lby,1804,532771
ltu,1804,778655
lux,1804,127030
mac,1804,18761
mkd,1804,391865
mdg,1804,1570144
mwi,1804,737000
mys,1804,287000
mdv,1804,42378
mli,1804,1403398
mlt,1804,134072
mhl,1804,5828
mrt,1804,382696
mus,1804,68415
mex,1804,6260720
fsm,1804,16416
mda,1804,712558
mco,1804,7789
mng,1804,619000
mne,1804,126582
mar,1804,2539318
moz,1804,2004555
mmr,1804,3506000
nam,1804,229000
nru,1804,1834
npl,1804,3881000
nld,1804,2270004
nzl,1804,100000
nic,1804,219387
ner,1804,1244861
nga,1804,12100855
prk,1804,4345000
nor,1804,887970
omn,1804,318000
pak,1804,13227451
plw,1804,3875
pan,1804,78842
png,1804,754894
pry,1804,143000
per,1804,1314721
phl,1804,1894389
pol,1804,9685503
prt,1804,3084422
pri,1804,170378
qat,1804,14092
rou,1804,5637681
rus,1804,31088398
rwa,1804,928368
wsm,1804,47268
smr,1804,5492
stp,1804,22731
sau,1804,2091000
sen,1804,1009886
srb,1804,2147197
syc,1804,12522
sle,1804,794264
sgp,1804,30000
svk,1804,2140651
svn,1804,469664
slb,1804,56998
som,1804,993184
zaf,1804,1462023
kor,1804,9395000
ssd,1804,1032822
esp,1804,11677172
lka,1804,1213000
kna,1804,17202
lca,1804,24000
vct,1804,25781
sdn,1804,4015320
sur,1804,80721
swz,1804,86000
swe,1804,2393815
che,1804,1856976
syr,1804,1337000
twn,1804,2000000
tjk,1804,466629
tza,1804,3019768
tha,1804,4665000
tls,1804,137262
tgo,1804,445985
ton,1804,18643
tto,1804,60000
tun,1804,864607
tur,1804,9832839
tkm,1804,367215
tca,1804,3296
tuv,1804,2499
uga,1804,2101397
ukr,1804,11215490
are,1804,40153
gbr,1804,12965089
usa,1804,7343995
ury,1804,55000
uzb,1804,1919159
vut,1804,27791
ven,1804,718000
vnm,1804,6551000
pse,1804,165944
yem,1804,2593000
zmb,1804,747000
zwe,1804,1085814
hrv,1804,1227886
guf,1804,9899
pyf,1804,62845
glp,1804,80726
gum,1804,6949
mtq,1804,84039
myt,1804,8219
ant,1804,42536
ncl,1804,29432
reu,1804,92744
vir,1804,40000
esh,1804,2788
akr_a_dhe,1804,3816
asm,1804,8164
aia,1804,2025
vgb,1804,6700
chanisl,1804,43908
cxr,1804,0
cck,1804,0
cok,1804,16214
cheslo,1804,7133114
deu_east,1804,5773904
eri_a_eth,1804,3057775
fro,1804,13537
flk,1804,100
gib,1804,9873
gbg,1804,19488
hos,1804,905
gbm,1804,23533
jey,1804,24420
kos,1804,383778
lie,1804,5802
msr,1804,5230
niu,1804,4534
nfk,1804,1104
yem_north,1804,1782615
mnp,1804,3360
pcn,1804,38
scg,1804,2273780
scg_ex_kos,1804,1814128
yem_south,1804,551928
stbar,1804,3261
shn,1804,1997
stmar,1804,5380
spm,1804,1782
sjm,1804,55
tkl,1804,1008
ussr,1804,49725361
korea_union,1804,13740000
wlf,1804,3721
deu_west,1804,14747000
yug,1804,4788485
ala,1804,7395
afg,1805,3280000
alb,1805,416928
dza,1805,2548424
and,1805,2654
ago,1805,1567028
atg,1805,37000
arg,1805,534000
arm,1805,413326
abw,1805,19286
aus,1805,346681
aut,1805,3245681
aze,1805,879960
bhs,1805,27350
bhr,1805,64474
bgd,1805,19417674
brb,1805,81729
blr,1805,2355081
bel,1805,3209623
blz,1805,25526
ben,1805,636559
bmu,1805,9761
btn,1805,89989
bol,1805,1100000
bih,1805,851806
bwa,1805,121000
bra,1805,3839418
brn,1805,2128
bgr,1805,2039301
bfa,1805,1665421
bdi,1805,899097
khm,1805,2090000
cmr,1805,1860054
can,1805,684475
cpv,1805,55716
cym,1805,2439
caf,1805,479444
tcd,1805,1432000
chl,1805,771447
chn,1805,335578585
col,1805,1206000
com,1805,56346
cod,1805,5163819
cog,1805,314465
cri,1805,54964
civ,1805,1088530
cub,1805,400349
cyp,1805,184491
cze,1805,5516349
dnk,1805,1084917
dji,1805,22848
dma,1805,19950
dom,1805,89000
ecu,1805,500000
egy,1805,4231082
slv,1805,248000
gnq,1805,80377
eri,1805,205010
est,1805,334136
eth,1805,2948990
fji,1805,131600
fin,1805,1022340
fra,1805,29817780
gab,1805,158227
gmb,1805,103274
geo,1805,1072178
deu,1805,23375566
gha,1805,2016034
grc,1805,2190286
grl,1805,9584
grd,1805,29409
gtm,1805,489738
gin,1805,983959
gnb,1805,218167
guy,1805,166034
hti,1805,723000
hnd,1805,131037
hkg,1805,20000
hun,1805,3651212
isl,1805,61428
ind,1805,170243484
idn,1805,16320476
irn,1805,6341064
irq,1805,1080918
irl,1805,4291944
isr,1805,209954
ita,1805,19151912
jam,1805,401000
jpn,1805,30469263
jor,1805,217000
kaz,1805,2041282
ken,1805,2574000
kir,1805,17876
kwt,1805,81280
kgz,1805,530343
lao,1805,470000
lva,1805,590588
lbn,1805,332000
lso,1805,276361
lbr,1805,313543
lby,1805,533096
ltu,1805,778655
lux,1805,127030
mac,1805,19142
mkd,1805,391865
mdg,1805,1576971
mwi,1805,737000
mys,1805,287000
mdv,1805,42378
mli,1805,1403398
mlt,1805,134072
mhl,1805,5828
mrt,1805,382696
mus,1805,69877
mex,1805,6280631
fsm,1805,16416
mda,1805,712558
mco,1805,7789
mng,1805,619000
mne,1805,126582
mar,1805,2548424
moz,1805,2010151
mmr,1805,3506000
nam,1805,229000
nru,1805,1834
npl,1805,3881000
nld,1805,2273891
nzl,1805,100000
nic,1805,219387
ner,1805,1244861
nga,1805,12100855
prk,1805,4345000
nor,1805,892887
omn,1805,318000
pak,1805,13253533
plw,1805,3875
pan,1805,78842
png,1805,754894
pry,1805,143000
per,1805,1314863
phl,1805,1894389
pol,1805,9730203
prt,1805,3097297
pri,1805,174456
qat,1805,14092
rou,1805,5681935
rus,1805,31088398
rwa,1805,928368
wsm,1805,47260
smr,1805,5492
stp,1805,22731
sau,1805,2091000
sen,1805,1009886
srb,1805,2147197
syc,1805,12522
sle,1805,794264
sgp,1805,30000
svk,1805,2140651
svn,1805,469664
slb,1805,56998
som,1805,993609
zaf,1805,1467372
kor,1805,9395000
ssd,1805,1034188
esp,1805,11709362
lka,1805,1213000
kna,1805,17202
lca,1805,24000
vct,1805,25781
sdn,1805,4020628
sur,1805,80721
swz,1805,86000
swe,1805,2410798
che,1805,1864788
syr,1805,1337000
